wid;woj;ogółem;ogółem2019;w_wieku_przedprodukcyjnym;w_wieku_produkcyjnym;w_wieku_produkcyjnym_mobilnym;w_wieku_produkcyjnym_niemobilnym;;w_wieku_poprodukcyjnym
00;Polska;38382576;6948706;23025927;14461257;8564670;8407943
02;dolnośląskie;2900163;496082;1733170;1094002;639168;670911
04;kujawsko-pomorskie;2072373;373397;1251212;782435;468777;447764
06;lubelskie;2108270;370640;1266445;793230;473215;471185
08;lubuskie;1011592;182801;610173;384364;225809;218618
10;łódzkie;2454779;417117;1442226;887708;554518;595436
12;małopolskie;3410901;649010;2065802;1319571;746231;696089
14;mazowieckie;5423168;1041550;3198473;2042196;1156277;1183145
16;opolskie;982626;156923;602616;363062;239554;223087
18;podkarpackie;2127164;386332;1307149;828816;478333;433683
20;podlaskie;1178353;205770;719176;444603;274573;253407
22;pomorskie;2343928;462084;1401039;896129;504910;480805
24;śląskie;4517635;772668;2694162;1645396;1048766;1050805
26;świętokrzyskie;1233961;203418;738618;456347;282271;291925
28;warmińsko-mazurskie;1422737;259636;871301;544325;326976;291800
30;wielkopolskie;3498733;679113;2104475;1343387;761088;715145
32;zachodniopomorskie;1696193;292165;1019890;635686;384204;384138
